"Active filters","Aktivní filtry"
Add,"Přidat"
"Category Filters for","Filtr kategorií pro"
"Category Id","ID kategorie"
"Category tree","Strom kategorií"
"Filters for Category ""%s"" were updated successfully.","Filtry pro kategorii ""%s"" byly úspěšně aktualizovány."
"Inactive filters","Neaktivní filtry"
"Overview of Category Filters","Přehled filtrů kategorií"
"Remove all","Všechny odstranit"
"Reset to global settings","Resetovat na globální nastavení"
"Root nodes list","Seznam kořenových uzlů"
Save,"Uložit"
Search,"Vyhledávání"
"There are no manual filter preferences defined for this category. The filters listed bellow are global settings. To define manual references for this category, modify the filters below.","Pro tuto kategorii nejsou stanoveny manuální preference filtrů. Níže uvedené filtry jsou globální nastavení. Abyste určili manuální preference pro tyto kategorie, upravte níže uvedené filtry."
"Type first three letters of an existing filter key for suggestions.","Zadejte první tři písmena existujícího klíče filtrů, abyste obdrželi návrhy."
