"Back to Translations","Zpět na Překlady"
"Create Translation","Vytvořit překlad"
"Edit Translation","Upravit překlad"
Glossary,"Glosář"
"Glossary entry was not updated.","Záznam glosáře nebyl aktualizován."
"Glossary with id %s doesn't exist","Záznam glosáře %s neexistuje."
"List of translations","Seznam překladů"
"Overview of Translations","Přehled překladů"
Save,"Uložit"
"Translation %d was created successfully.","Překlad %d byl úspěšně vytvořen."
"Translation %d was updated successfully.","Překlad %d byl úspěšně aktualizován."
"Translation details","Detaily překladu"
