Actions,"Akce"
Active,"Aktivní"
Cancel,"Zrušit"
Delete,"Smazat"
"Go Back","Jděte zpět"
ID,"ID"
Inactive,"Neaktivní"
"Move Down","Dolů"
"Move Up","Nahoru"
Name,"Jméno"
Save,"Uložit"
SprykerCmsSlotBlock,"Spryker"
Status,"Status"
Stores,"Markety"
"There are unsaved changes","Změny nejsou uloženy"
"List of Blocks for ""%SLOT_NAME%"" Slot","Seznam bloků pro ""%SLOT_NAME%"" Slot"
"Select or type a block name to assign","Vyberte nebo zadejte název bloku pro přiřazení"
"Valid From (Included)","Platné Od (včetně)"
"Valid To (Excluded)","Platné Do (vyjma)"
"View Block","Zobrazit blok"
+Add,"+Přidat"
