"Abstract product name","Název abstraktního produktu"
"Abstract product name:","Název abstraktního produktu:"
Activate,"Aktivovat"
Active,"Aktivní"
"Add Product Relations","Přidat produktové vztahy"
"Are you sure about deleting this product relation?","Opravdu chcete vymazat tento produktový vztah?"
"Assign related products","Přiřadit podobné produkty"
"Create Product Relation","Vytvořit vztah produktu"
"Create relation","Vytvořit vztah"
Deactivate,"Deaktivovat"
"Delete Product Relation","Smazat vztah produktů"
Edit,"Upravit"
"Edit Product Relations","Upravit vztahy produktu"
"Failed to delete relation.","Vztah nebylo možné smazat."
General,"Obecně"
Inactive,"Neaktivní"
"Is active:","Je aktivní:"
"It is impossible to update product relation #%d","Nelze aktualizovat vztah produktu #%d"
"List of Product Relations","Všechny vztahy produktu"
"List Product relations","Seznam vztahů produktů"
"No, I want to keep this product relation","Ne, chci ponechat tento vztah produktů"
"Number of products","Počet produktů"
"Please select product from the list below","Vyberte prosím produkt ze seznamu níže"
"Please select product from the list below *","Vyberte produkt ze seznamu níže *"
"Product owning the relation","Produkt se vztahem"
"Product relation #%d not found","Vztah produktu #%d nenalezen"
"Product relation key","Klíč vztahu produktu"
"Product relation successfully created","Vztah produktu úspěšně vytvořen"
"Product relation successfully modified","Vztah produktu úspěšně změněn"
"Product relation with id ""%id%"" not found.","Vztah produktu s ID ""%id%"" nenalezen"
"Product Relations","Vztahy produktu"
"Related products","Podobné produkty"
related-products,"Podobné produkty"
"Relation #%d successfully deleted.","Vztah produktu #%d úspěšně smazán."
"Relation successfully activated.","Vztah úspěšně aktivován."
"Relation successfully deactivated.","Vztah úspěšně deaktivován."
"Relation successfully deleted.","Vztah úspěšně smazán."
"Relation type","Typ vztahu"
"Relation type:","Typ vztahu:"
Save,"Uložit"
Select,"Vybrat"
"Select product","Vyberte produkt"
"Select Stores","Vyberte markety"
"Selected product","Vybraný produkt"
"Selected product already has ""%s"" relation type.","Vybraný produkt již má typ vztahu ""%s""."
Sku:,"Sku:"
Status,"Status"
"Store relation","Vztah marketu:"
Stores,"Markety"
up-selling,"Upselling"
"Update regularly","Pravidelně aktualizovat"
"Update regularly: When you have this selected, this product relation will be updated automatically on regular basis according to the relation's conditions.","Pravidelně aktualizovat: Pokud je toto nastaveno, aktualizuje se tento vztah produktu podle podmínek vztahu pravidelně automaticky."
"View in Shop","Náhled V shopu"
"View Product Relation: %s","Zobrazit vztah produktu: %s"
"View relations","Náhled vztahů"
"Product Relation Key","Klíč vztahu produktu"
"Abstract SKU","Abstraktní Sku:"
"Select a relation type","Vyberte typ vztahu."
select,"Vybrat"
"Add rule","Přidat pravidlo"
"Add group","Přidat skupinu"
Delete,"Smazat"
"Edit Product Relation","Upravit vztah produktu"
"Is active","Je aktivní"
"Yes, delete this product relation","Ano, smazat tento vztah produktu"
"Number of Products","Počet artiklů"
Store,"Market"
"CSRF token is not valid.","CSRF token je neplatný."
