CMS Redirect,"Přesměrování CMS"
List CMS Redirect,"Seznam CMS přesměrování"
"Content Management","Správa obsahu"

Activate,"Aktivovat"
"Back to CMS","Zpět na CMS"
by,"pomocí"
"Cms page with id %s doesn't exist","CMS stránka s ID %s neexistuje"
Compare,"Srovnání"
"Content Management","Správa obsahu"
"Create CMS Page","Vytvořit CMS stránku"
"Create new CMS Page","Vytvořit CMS stránku"
"Create page","Vytvořit stránku"
"Created at:","Vytvořeno dne:"
Deactivate,"Deaktivovat"
Description:,"Popis:"
"Discard Draft","Zahodit koncept"
"Edit CMS Page:","Upravit CMS stránku:"
"Edit CMS Placeholders","Upravit CMS zástupný symbol"
"Edit page","Upravit stránku"
"Edit placeholders","Upravit zástupný symbol"
"Edit Placeholders: ","Upravit zástupný symbol:"
"Fill in general page information","Vyplnit obecné informace o stránce"
"Fill in SEO information","Vyplnit SEO informace"
"In Shop","V shopu"
"In Zed","V Zed"
"Is active:","Je aktivní"
"Is searchable:","Lze vyhledávat:"
"Is searchable","Lze vyhledávat"
Keywords:,"Klíčová slova:"
"List of CMS pages","Seznam CMS stránek"
Locale,"Locale"
"Meta Description","Meta popis"
"Meta Keywords","Meta Keywords"
"Meta Title","Meta titul"
"Missing placeholders for selected template.","Chybějící zástupný symbol pro zvolenou předlohu."
n/a,"n/a"
Name,"Jméno"
Name:,"Jméno:"
on,"ohl."
"Overview of CMS Pages","Přehled CMS stránek"
Page,"Stránka"
"Page was updated successfully","Stránka byla úspěšně aktualizována"
"Page with version %d successfully published.","Stránka s verzí %d úspěšně zveřejněna."
Pages,"Stránky"
"Placeholder translations successfully updated","Překlady zástupného symbolu úspěšně aktualizovány."
Publish,"Zveřejnit"
"Rollback to Selected Version","Vrátit na vybranou verzi"
Save,"Uložit"
"Store relation:","Vztah marketu:"
Template:,"Předloha:"
Title:,"Titul:"
"Translation key:","Klíč překladu:"
Url,"URL"
Urls,"URLs"
"Valid from:","Platné Od (včetně):"
"Valid to:","Platné do (vyjma):"
"Version History","Historie verzí"
"Version History:","Historie verzí:"
View,"Náhled"
"View CMS Page:","Zobrazit stránku CMS:"
"View CMS Page","Zobrazit stránku CMS:"
"You are editing a <br>draft </b> page. To make your changes visible in Yves, publish the page. Publishing the page will create a new version for this page","Upravujete <b>koncept</b> stránky. Aby byly Vaše změny viditelné ve výkladu, stránku zveřejněte. Zveřejněním se vytvoří nová verze této stránky."
"You are viewing a published page. It was published","Sledujete zveřejněnou stránku. Byla zveřejněna"
"You can edit the page or placeholders to modify the current working draft. You can publish the current working draft to create a new version","Můžete stránku nebo zástupné symboly upravovat, abyste změnili aktuální koncept. Aktuální koncept můžete zveřejnit, abyste vytvořili novou verzi"
