content_product_set.template.add_to_cart,"Obrázky vlevo, produkty vpravo a přidat jen všechna tlačítka"

Actions,"Akce"
Add,"Přidat"
"Available Product Sets","Dostupné skupiny produktů"
"Clear locale","Smazat locale"
content_product_set_gui.template.cart-button-btm,"Přidat vše do nákupního koše tlačítko níže"
content_product_set_gui.template.cart-button-top,"Přidat vše do nákupního koše tlačítko výše"
content_product_set_gui.template.default,"Standard"
Delete,"Smazat"
ID,"ID"
Name,"Jméno"
"Number of Products","# produktů"
"Product Set","Produktová sada"
Status,"Status"
