Activate,"Aktivovat"
"Add group","Přidat skupinu"
"Add Random Generated Code Length","Přidat náhodně generovanou délku kódu"
"Add rule","Přidat pravidlo"
Amount:,"Částka:"
"Apply to query:","Aplikovat na query:"
"Batch Value","Sada"
"Calculator type","Základ výpočtu"
"Cart Rules","Nákupní koš pravidla"
Conditions,"Podmínky"
"Could not change discount visibility.","Viditelnost rabatu nebylo možné změnit."
"Create new discount","Vytvořit nový rabat"
"Create new Discount","Vytvořit nový rabat"
"Create voucher codes for the discount","Vytvořit kódy poukázek pro rabat"
Deactivate,"Deaktivovat"
"Define what to apply the discount to","Uveďte, na co se má rabat aplikovat"
"Define when to apply the discount","Uveďte, kdy se má rabat aplikovat"
"Delete codes","Smazat kódy"
Description,"Popis"
Description:,"Popis:"
"Discount calculation","Výpočet rabatu"
"Discount collection type","Discount application type"
"Discount List","Seznam rabatů"
"Discount successfully activated","Rabat úspěšně aktivován"
"Discount successfully created, but not activated.","Rabat úspěšně vytvořen, ale neaktivován."
"Discount successfully deactivated","Rabat úspěšně deaktivován."
"Discount successfully updated.","Rabat úspěšně aktualizován."
"Discount Type:","Typ rabatu:"
"Discount Type","Typ rabatu"
"Discount with id %s doesn't exist","Rabat s ID %s neexistuje."
"Discount with this name is already used.","Rabat s tímto názvem se již používá."
Edit,"Upravit"
"Edit discount","Upravit rabat"
"Enter your custom code as a string. If selected in the next step, additional random characters are added at the end of this string. Use the placeholder [code] to indicate where you want random characters to be generated.","Zadejte Váš uživatelský kód jako řetězec znaků. Pokud vybráno v dalším kroku, doplní se na konci tohoto řetězce další dodatečné znaky. Použijte zástupný symbol[code], abyste uvedli, kde se mají náhodné znaky."
Examples,"Příklady"
Exclusive:,"Exkluzivně:"
Exclusive,"Exkluzivně"
Non-Exclusive,"Neexkluzivní"
Explanation,"Vysvětlení"
Export,"Export"
Field,"Pole"
"Fill in the general discount information","Vyplnit obecné informace o rabatu"
"General Information","Obecné informace"
"Generated Discount Codes","Generované kódy rabatů"
"List of Discounts","Seznam rabatů"
"Matches all elements which have a ""width"" attribute defined, but with any ""width"" value","Porovnává všechny prvky, u kterých je definován atribut ""width"", nezávisle na jejich hodnotě pro ""width"""
"Matches elements with the exact same SKU: ""SKU-1""","Porovnává prvky s úplně stejnou SKU: ""SKU-1"""
"Max nr. of uses","Maximální počet použití"
"Max number of uses (0 = Infinite usage)","Maximální počet použití (0 = nekonečně mnoho použití)"
N/A,"n/a"
Name,"Jméno"
"Name (A unique name that will be displayed to your customers)","Název (jednoznačné označení, které se zobrazí Vašim zákazníkům)"
Name:,"Jméno:"
No,"Ne"
"No additional random characters","Žádné další náhodné znaky"
"No conditions, discount always applied.","Žádné podmínky, rabat se uplatní vždy."
"No voucher codes were deleted.","Nebyly smazány žádné kódy poukázek."
Operation,"Operace"
Overview,"Přehled"
"Plain query","Jednoduché query"
"Please fill all required fields.","Vyplňte prosím všechna požadovaná pole."
"Query builder","Query builder"
"Query String","Query String"
Save,"Uložit"
"Store relation:","Vztah marketu:"
"Successfully deleted ""%d"" vouchers.","Poukázky ""%d"" úspěšně smazány."
Type:,"Typ:"
Used,"Použito"
"Valid from:","Platné Od (včetně)"
"Valid until:","Platné Do (vyjma)"
Value,"Hodnota"
Voucher,"Poukázka"
"Voucher Code","Kód poukázky"
Yes,"Ano"
"No returns for this order","Žádné vratky pro tuto objednávku"
