"Back to Tax Rates","Zpět na Sazby daně"
"Back to Tax Sets","Zpět na Nastavení daně"
"Could not delete tax set. Is it assigned to product or shipping method?","Nastavení daně nebylo možné smazat. Je přiřazeno produktu nebo typu dopravy?"
Country,"Země"
"Create Tax Rate","Vytvořit sazbu daně"
"Create Tax Set","Vytvořit nastavení daně"
"Created at","Vytvořeno dne"
Delete,"Smazat"
"Delete Tax Rate","Smazat sazbu daně"
"Delete Tax Set","Smazat nastavení daně"
Edit,"Upravit"
"Edit Tax Rate:","Upravit sazbu daně:"
"Edit Tax Set:","Upravit nastavení daně:"
"List of tax rates","Seznam sazeb daně"
"List of tax sets","Seznam nastavení daně"
N/A,"n/a"
Name,"Jméno"
"Overview of Tax Rates","Přehled sazeb daně"
"Overview of Tax Sets","Přehled nastavení daně"
Percentage,"Procenta"
Save,"Uložit"
"Select country.","Vybrat zemi."
"Tax rate %d was created successfully.","Sazba daně %d byla úspěšně vytvořena."
"Tax rate %d was deleted successfully.","Sazba daně %d byla úspěšně smazána."
"Tax rate %d was updated successfully.","Sazba daně %d byla úspěšně aktualizována."
"Tax Rate deletion confirmation","Sazba daně úspěšně smazána"
"Tax rate details","Detaily k sazbě daně"
"Tax rate ID","ID sazby daně"
"Tax rate with id %s doesn't exist","Sazba daně s ID %s neexistuje"
"Tax rate with provided name, percentage and country already exists.","Sazba daně s uvedeným názvem, procentní sazbou a zemí již existuje."
"Tax rates","Sazby daně"
"Tax Rates","Sazby daně"
"Tax set %d was created successfully.","Daňové nastavení %d bylo úspěšně vytvořeno."
"Tax set %d was updated successfully.","Daňové nastavení %d bylo úspěšně aktualizováno."
"Tax Set deletion confirmation","Potvrzení výmazu pro sazbu daně"
"Tax set details","Detaily pro daňové nastavení"
"Tax set ID","ID daňového nastavení"
"Tax set is not created. Please fill-in all required fields.","Daňové nastavení nebylo vytvořeno. Vyplňte prosím všechna požadovaná pole."
"Tax set with id %s doesn't exist","Daňové nastavení s ID %s neexistuje"
"Tax Set with name ""%name%"" already exists.","Daňové nastavení s názvem ""%name%"" již existuje."
"Tax Sets","Nastavení daně"
Taxes,"Daně"
"The tax set has been deleted","Daňové nastavení bylo smazáno"
"Updated at","Aktualizováno dne"
"View Tax Rate:","Zobrazit sazbu daně:"
"View Tax Rate","Zobrazit sazbu daně"
"View Tax Set:","Zobrazit daňové nastavení:"
"You should choose one or more tax rates","Musíte vybrat alespoň jednu sazbu daně"
"No country","Žádná země"
"Edit Tax Rate","Upravit sazbu daně"
"Edit Tax Set","Upravit nastavení daně"
