"-Select value-","-Vybrat hodnotu-"
Active,"Aktivní"
"Add Category to this Node","Přidat kategorii k tomuto uzlu"
"Additional Parents","Další parents"
"Allow to search for this category","Povoleno vyhledávání této kategorie:"
"Assign products","Přiřadit produkty"
"Assign Products to this Category","Přiřadit produkty této kategorii"
"Assign Products to Category","Přiřadit produkty do kategorie"
"Assign products to category","Přiřadit produkty do kategorie"
Category,"Kategorie"
"Category key","Klíč kategorie"
"Category Key","Klíč kategorie"
"Category key:","Klíč kategorie:"
"Category nodes successfully re-sorted.","Uzly kategorií úspěšně přeřazeny."
"Category nodes successfully reordered.","Uzly kategorií úspěšně nově seřazeny."
"Category status","Status kategorií"
"Category template","Předloha kategorií"
"Category with id %s doesn't exist","Kategorie s ID %s neexistuje"
Create,"Vytvořit"
"Create category","Vytvořit kategorii"
"Create Category","Vytvořit kategorii"
Delete,"Smazat"
"Delete category","Smazat kategorii"
Edit,"Upravit"
"Edit category","Upravit kategorii"
"In Menu","V menu"
Inactive,"Neaktivní"
"List Categories","Seznam kategorií"
"List of categories","Seznam kategorií"
no,"Ne"
"Not in Menu","Není v menu"
"Please make sure required fields are properly filled in","Prověřte prosím, zda jsou správně vyplněna všechna požadovaná pole"
"Re-sort Child Categories","Přeřadit podřízené kategorie"
"Re-sort child-categories","Přeřadit podřízené kategorie"
"Root nodes list","Seznam kořenových uzlů"
Save,"Uložit"
"Save Order","Objednávku uložit"
Searchable,"Vyhledatelný"
"The category was added successfully.","Kategorie byla úspěšně přidána."
"The category was saved successfully.","Kategorie byla úspěšně uložena."
"The category was updated successfully.","Kategorie byla úspěšně aktualizována."
Translations,"Překlady"
View,"Náhled"
"View category","Zobrazit kategorie"
Visible,"Viditelné"
"Visible in the category tree","Viditelné ve stromu kategorie"
"Visible in the category tree:","Viditelné ve stromu kategorie:"
yes,"Ano"
"Yes, I am sure","Ano, chci."
"View Category","Zobrazit kategorie"
