"Add Attribute to Search","Přidat atribut k vyhledávání"
"Add attribute to search","Přidat atribut k vyhledávání"
"Attribute key","Klíč atributu"
"Attribute key is already used","Klíč atributu je již používán"
"Attribute to search was added successfully.","Hledaný atribut úspěšně přidán."
"Attribute to search was successfully deactivated.","Hledaný atribut úspěšně deaktivován."
"Attribute to search was successfully updated.","Hledaný atribut úspěšně aktualizován."
"Attribute with id %s doesn't exist","Atribut s ID %s neexistuje."
"Category Filters","Filtr kategorií"
"Completion terms","Pojmy pro zkompletování vyhledávání"
"Create filter","Vytvořit filtr"
Delete,"Smazat"
Edit,"Upravit"
"Edit Filter Order","Upravit pořadí filtrů"
"Edit filter order","Upravit pořadí filtrů"
"Edit search preferences","Upravit preference vyhledávání"
"Edit Search Preferences","Upravit preference vyhledávání"
"Filter name","Název filtru"
"Filter name *","Název filtru *"
"Filter position","Pozice filtru"
"Filter Preferences","Preference filtru"
"Filter preference was created successfully.","Preference filtru byla úspěšně vytvořena."
"Filter preference was updated successfully.","Preference filtru byla úspěšně aktualizována."
"Filter preferences synchronization was successful.","Preference filtru byly úspěšně synchronizovány."
"Filter successfully deleted.","Filtr úspěšně smazán."
"Filter type","Typ filtru"
"Full text","Full text"
"Full text boosted","Fulltext boosted"
"General Information","Obecné informace"
"Include for completion","Zahrnout do samozkompletování"
"Include for full text","Zahrnout do full textu"
"Include for full text boosted","Zahrnout do zvýraznění full textového vyhledávání"
"Include for suggestion","Zahrnout do návrhů vyhledávání"
"List of filters","Seznam filtrů"
"List of search preferences","Seznam preferencí vyhledávání"
multi-select,"Vícenásobný výběr"
range,"Rozsah"
Save,"Uložit"
"Save Order","Objednávku uložit"
"Search and Filters","Vyhledávání a filtry"
"Search Preferences","Preference vyhledávání"
"Search preferences","Preference vyhledávání"
"Search preferences synchronization was successful.","Preference vyhledávání byly úspěšně synchronizovány."
single-select,"Jeden výběr"
"Suggestion terms","Navrhované pojmy"
"Synchronize filter preferences","Synchronizovat nastavení filtrů"
"Synchronize search preferences","Synchronizovat preference vyhledávání"
"This field contains illegal characters. It should contain only lower case letters, digits, numbers, underscores (""_""), hyphens (""-"") and colons ("":"").","Toto pole obsahuje nepovolené znaky. Povolena jsou pouze malá písmena, číslice, čísla, podtržítka (""_""), pomlčky (""-"") a dvojtečky ("":"")."
Translations,"Překlady"
"Type first three letters of an existing attribute key for suggestions.","Zadejte první tři písmena existujícího klíče atributů, abyste obdrželi návrhy."
"View Filter","Náhled filtrů"
"Deactivate all","Všechna deaktivovat"
"Create Filter","Vytvořit filtr"
"Edit filter","Upravit filtr"
