"Add Content Item","Přidat položku obsahu"
"Back to Content Items","Zpět na Položky obsahu"
Cancel,"Zrušit"
"Content Item","Položka obsahu"
"Content Item ID","ID položky obsahu"
"Content Item Key","Klíč položky obsahu"
"Content Items","Položky obsahu"
"Content Type","Typ obsahu"
"Create Content Item","Vytvořit položku obsahu"
Default,"Standard"
"Edit Content Item","Upravit položku obsahu"
"Edit Widget","Upravit Widget"
Insert,"Vložit"
"Insert a Content Item","Vložit položku obsahu"
"Invalid data provided","Zadána neplatná data"
"List of Content Items","Seznam položek obsahu"
Name,"Jméno"
"Overview of Content Items","Přehled položek obsahu"
"Overwrite default by specifying a different list per specific locale","Přepište standardní hodnotu tak, že zadáte různé položky obsahu pro určité locale"
"Overwrite default by specifying different content elements per specific locale","Přepište standardní hodnotu tak, že zadáte různé položky obsahu pro určité locale"
"Please select a content item","Vyberte prosím položku obsahu"
"Please select a template","Vyberte prosím předlohu"
Save,"Uložit"
"Select a content item","Vyberte položku obsahu"
"Select a template","Vyberte předlohu"
Updated,"Aktualizováno"
