Product Labels,"Etikety produktů"

Activate,"Aktivovat"
"Add option","Přidat možnost"
"All products","Všechny produkty"
"Assigned products","Přiřadit produkty"
"Could not activate option.","Možnost nebylo možné aktivovat."
"Create a product option by defining option values with translation key, sku and price. By adding more than 1 option value bellow, you will create an option group. With an option group your customer can choose one option from this group.","Vytvořit možnost produktu určením hodnot možností s překladovým klíčem, SKU a cenou. Pokud se přidá více než 1 hodnota možnosti, vytvoří se skupina možností. U skupiny možností může Váš zákazník vybrat jednu možnost z této skupiny."
"Create product option","Vytvořit možnost produktu"
"Created at","Vytvořeno dne:"
Deactivate,"Deaktivovat"
"Deselect all on the page","Zrušit všechna označení na stránce"
Edit,"Upravit"
"Edit product option","Upravit možnost produktu"
"General information","Obecné informace"
"Gross Price","Hrubá cena"
"Group name","Název skupiny"
"Group name translation key","Překladový klíč pro název skupiny"
ID,ID
"List of product options","Seznam možností produktu"
Name,"Jméno"
"Net Price","Cena netto"
"Option group ID","ID skupiny možností"
"Option name","Název možností"
"Option name:","Název možností"
"Option name translation key","Překladový klíč pro názvy možností"
"Option successfully activated.","Možnost úspěšně aktivována."
"Option successfully deactivated.","Možnost úspěšně deaktivována."
"Option Values","Hodnoty možností"
"Prices","Ceny"
"Product option group created.","Skupina možností produktu vytvořena."
"Product option group modified.","Skupina možností produktu změněna."
"Product option list","Seznam možností produktů"
"Product Options","Možnosti produktu"
Products,"Produkty"
"Products to be assigned","Produkty k přiřazení"
"Products to be deassigned","Produkty ke zrušení přiřazení"
"Products with this option","Produkty s touto možností"
Save,"Uložit"
"Select all on the page","Vyberte všechny na stránce"
Selected,"Vybráno"
SKU,"SKU"
Sku,"SKU"
"Tax set","Daňové nastavení"
Translation,"Překlad"
"Translation key","Klíč překladu"
"Updated at","Aktualizováno dne"
"View product option","Zobrazit možnosti produktu"
Active,"Aktivní"
Inactive,"Neaktivní"
"product.option.group.name.(your key)","product.option.group.name.(Váš klíč)"
"product.option.(your key)","product.option.(Váš klíč)"
