Activate,"Aktivovat"
"Add a Cms block","Přidat CMS blok"
"Add a Cms page","Přidat CMS stránku"
"Add CMS Block","Přidat CMS blok"
"Add CMS Page","Přidat CMS stránku"
"Add a CMS Redirect","Přidat CMS redirect"
"Add CMS Redirect","Přidat CMS redirect"
"Back to CMS","Zpět na CMS"
"CMS blocks","CMS bloky"
"Create new CMS Redirect","Vytvořit nový CMS Redirect"
Deactivate,"Deaktivovat"
"Delete CMS Block","Smazat CMS blok"
"Delete CMS Page","Smazat CMS stránku"
"Edit a Cms Block","Upravit CMS blok"
"Edit a Cms page","Upravit CMS stránku"
"From Url","Od URL"
"ID redirect URL is not set.","ID redirect URL není nastaveno"
Loading...,"Načítá se …"
"New template(s) detected and added to the template list.","Rozpoznána(y) nová(é) předloha(y) a doplněna(y) do seznamu předloh."
"Please select","Prosím vyberte"
"Redirect status code","Redirect status code"
"Redirect was created successfully.","Redirect byl úspěšně vytvořen."
"Redirect was deleted successfully.","Redirect byl úspěšně smazán."
"Redirect was updated successfully.","Redirect byl úspěšně aktualizován."
Redirects,"Přesměrování"
Save,"Uložit"
"Save All","Všechny uložit"
"To URL","Na URL"
"URL is already used.","URL se již používá."
"URL must start with a slash","URL musí začínat lomítkem"
